genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Cricetus,cricetus,european hamster,0.36742857,-0.4348271,203.485714,ml O2/h,24.42,1.38771517,o,land,yes,rodentia,"White and Seymour, 2003; Trojan 1977; Genoud 2017 dataset"

Crocidura,crossei,crosse's shrew,0.0102,-1.9913998,22.4,ml O2/h,2.69,0.42942926,c,land,yes,eulipotyphla,"White and Seymour, 2003"

Crocidura,flavescens,greater red musk shrew,0.0332,-1.4788619,44.5,ml O2/h,5.34,0.72754126,c,land,yes,eulipotyphla,"White and Seymour, 2003"

Crocidura,hildegardeae,hildegarde's shrew,0.0103,-1.9871628,26.78,ml O2/h,3.21,0.50699182,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Crocidura,leucodon,bicolored shrew,0.0117,-1.9318141,29.8,ml O2/h,3.58,0.55339751,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Crocidura,luna,moonshie shrew,0.01205,-1.919013,25.32,ml O2/h,3.04,0.48264495,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Crocidura,olivieri,african giant shrew,0.03883571,-1.4107687,58.2982143,ml O2/h,6.95,0.84204729,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Crocidura,poensis,fraser's musk shrew,0.01723333,-1.7636307,30.9866667,ml O2/h,3.72,0.57035611,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Crocidura,russula,greater white-toothed shrew,0.01112273,-1.9537887,22.5104545,ml O2/h,2.7,0.43156551,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Cretegny and Genoud 2006; Genoud 2017 dataset"

Crocidura,suaveolens,lesser white-toothed shrew,0.00656429,-2.1828125,19.0757143,ml O2/h,2.29,0.35966206,c,land,yes,eulipotyphla,"White and Seymour, 2003; Sparti 1990; Genoud 2017 dataset"

Crocidura,viaria,savanna path shrew,0.0148,-1.8297383,22.2416667,ml O2/h,2.67,0.42634857,c,land,yes,eulipotyphla,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Sparti 1990; Genoud 2017 dataset"

Crocidura,jouvenetae,jouvenet's shrew,0.0102,-1.9913998,22.4,ml O2/h,2.688,0.42942926,c,land,yes,eulipotyphla,Sparti (1990)

Fukomys,bocagei,bocage's mole-rat,0.094,-1.0268721,69.6,ml O2/h,8.35,0.92179049,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bennett et al., 1994; Genoud 2017 dataset"

Fukomys,damarensis,damaraland mole-rat,0.127,-0.8961963,79.974,ml O2/h,9.6,0.98213006,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bennett et al., 1994; Genoud 2017 dataset"

Fukomys,darlingi,mashona mole-rat,0.0651875,-1.1858357,61.875,ml O2/h,7.43,0.87069646,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Bennett et al., 1993; Genoud 2017 dataset"

Cryptomys,hottentotus,common mole-rat,0.0873265,-1.0588537,82.9685,ml O2/h,9.957,0.99813141,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bennett et al., 1993; Bennett et al., 1994; Genoud 2017 dataset; Luna et al. (2017)"

Cryptotis,parva,north american least shrew,0.0062,-2.2076083,19.2,ml O2/h,2.3,0.36248247,o,land,yes,eulipotyphla,"White and Seymour, 2003; McNab 1991; Genoud 2017 dataset"

Ctenomys,australis,southern tuco-tuco,0.31705,-0.4988722,128.885,ml O2/h,15.47,1.18938362,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset"

Ctenomys,fulvus,tawny tuco-tuco,0.28125,-0.5509075,179.25,ml O2/h,21.51,1.33264041,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Contreras 1983; Genoud 2017 dataset"

Ctenomys,maulinus,maule tuco-tuco,0.215,-0.6675615,187.1,ml O2/h,22.45,1.35125503,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset; Contreras 1983; Genoud 2017 dataset"

Ctenomys,opimus,highland tuco-tuco,0.2162,-0.6651443,119.28,ml O2/h,14.31,1.15574888,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset"

Ctenomys,peruanus,peruvian tuco-tuco,0.49,-0.3098039,220.5,ml O2/h,26.46,1.42258984,h,land,yes,rodentia,"White and Seymour, 2003; Luna et al., 2017; Naya dataset"

Ctenomys,talarum,talas tuco-tuco,0.1660875,-0.7796631,149.62625,ml O2/h,17.96,1.25418904,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Luna et al., 2012; Genoud 2017 dataset"

Cuniculus,paca,lowland paca,9.156,0.96170578,2746.8,ml O2/h,329.62,2.51800828,h,land,yes,rodentia,"White and Seymour, 2003; Arends and McNab 2001; Genoud 2017 dataset"

Cyclopes,didactylus,silky anteater,0.24,-0.6197888,114,ml O2/h,13.68,1.1360861,c,land,yes,pilosa,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Cynomys,ludovicianus,black-tailed prairie dog,1.1123,0.04622194,425.746154,ml O2/h,51.09,1.70833198,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Reinking et al., 1977; Genoud 2017 dataset"

Cynopterus,brachyotis,lesser short-nosed fruit bat,0.0374,-1.4271284,47.5,ml O2/h,5.7,0.75587486,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1989; Genoud 2017 dataset"

Dasycercus,cristicauda,crest-tailed mulgara,0.09119,-1.0400528,46.59,ml O2/h,5.59,0.74747396,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Nelson 1969; Genoud 2017 dataset"

Dasyprocta,azarae,azara's agouti,3.849,0.58534791,1885.039,ml O2/h,226.2,2.35450159,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Dasyprocta,leporina,red-rumped agouti,2.687,0.42926767,1558,ml O2/h,186.96,2.2717487,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Dasypus,novemcinctus,nine-banded armadillo,4.14357143,0.61737483,782.119519,ml O2/h,93.85,1.97245437,o,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Boily 2002; Genoud 2017 dataset"

Dasypus,sabanicola,llanos long-nosed armadillo,1.38,0.13987909,310.9,ml O2/h,37.308,1.57180197,c,land,yes,cingulata,Fergusson-Laguna (1981)

Dasyuroides,byrnei,kowari,0.1148875,-0.9397272,81.36,ml O2/h,9.76,0.98959219,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Geiser and Baudinette 1987; Genoud 2017"

Dasyurus,geoffroii,western quoll,1.37983333,0.13982663,511.45,ml O2/h,61.37,1.78798443,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Schmidt et al., 2009; Genoud 2017 dataset"

Dasyurus,hallucatus,northern quoll,0.5344,-0.2721336,256.84,ml O2/h,30.82,1.48884391,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Cooper and Withers 2010; Genoud 2017 dataset"

Dasyurus,maculatus,tiger quoll,3.546,0.54973873,1108.3,ml O2/h,133,2.12383858,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Cooper and Withers 2010; Genoud 2017 dataset"

Dasyurus,viverrinus,eastern quoll,0.92191667,-0.0353083,407.276667,ml O2/h,48.87,1.68907078,c,land,yes,dasyuromorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; MacMillen and Nelson 1969; Genoud 2017 dataset"

Daubentonia,madagascariensis,aye-aye,2.562,0.40857913,1393.9,ml O2/h,167.268,2.22341286,o,land,yes,primates,Barrickman & Lin (2010)

Dendrohyrax,dorsalis,western tree hyrax,2.21,0.34439227,751,ml O2/h,90.12,1.95482118,o,land,yes,hyracoidea,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Dendrolagus,matschiei,matschie's tree-kangaroo,6.96,0.84260924,1435.14975,ml O2/h,172.22,2.23607847,o,land,yes,diprotodontia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1988; Genoud 2017 dataset"

Desmodillus,auricularis,cape short-eared gerbil,0.07193,-1.1430899,87.8,ml O2/h,10.54,1.02267576,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1994; Genoud 2017 dataset"

Desmodus,rotundus,common vampire bat,0.0294,-1.5316527,27.048925,ml O2/h,3.25,0.51133126,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Diaemus,youngi,white-winged vampire bat,0.0366,-1.4365189,34.7827,ml O2/h,4.17,0.62054454,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Dicrostonyx,groenlandicus,northern collared lemming,0.06030222,-1.2196667,103.165556,ml O2/h,12.38,1.09271597,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1992; Genoud 2017 dataset"

Didelphis,marsupialis,common opossum,1.288,0.10991586,601.136,ml O2/h,72.14,1.85815398,o,land,yes,didelphimorphia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1978; Genoud 2017 dataset"

Didelphis,virginiana,virginia opossum,3.1032,0.49180977,1026.006,ml O2/h,123.12,2.09033115,o,land,yes,didelphimorphia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1978; Genoud 2017 dataset"

Diphylla,ecaudata,hairy-legged vampire bat,0.0278,-1.5559552,34.363,ml O2/h,4.12,0.61527232,c,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Dipodomys,agilis,agile kangaroo rat,0.0607,-1.2168113,63.7125,ml O2/h,7.646,0.88343429,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Carpenter (1966); Genoud 2017 dataset"

Dipodomys,deserti,desert kangaroo rat,0.10574,-0.9757607,93.18,ml O2/h,11.18,1.04850395,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1979; Genoud 2017 dataset"

Dipodomys,heermanni,heermann's kangaroo rat,0.0633,-1.1985963,75.215,ml O2/h,9.03,0.95548571,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Dipodomys,merriami,merriam's kangaroo rat,0.03518333,-1.453663,43.6433333,ml O2/h,5.24,0.71909916,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson 1955; Genoud 2017 dataset"

Dipodomys,microps,chisel-toothed kangaroo rat,0.05435,-1.2648005,60.745,ml O2/h,7.29,0.86269178,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Dipodomys,nitratoides,fresno kangaroo rat,0.0378,-1.4225082,37.605,ml O2/h,4.51,0.65442684,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Dipodomys,ordii,ord's kangaroo rat,0.048,-1.3187588,60.486,ml O2/h,7.26,0.86083611,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Kenagy and Vleck 1982; Genoud 2017 dataset"

Dipodomys,panamintinus,panamint kangaroo rat,0.06128,-1.2126812,70.669,ml O2/h,8.48,0.92841019,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Dawson 1955; Genoud 2017 dataset"

Dipus,sagitta,"northern three-toed jerboa, probably also called: Paradipus ctenodactylus",0.16,-0.79588,121.2,ml O2/h,14.54,1.16268387,h,land,yes,rodentia,"White and Seymour, 2003"

Dobsonia,anderseni,andersen's naked-backed fruit bat,0.2414,-0.6172627,174,ml O2/h,20.88,1.31973049,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Dobsonia,minor,lesser naked-backed fruit bat,0.0737,-1.1325325,74.4,ml O2/h,8.93,0.95075418,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Dobsonia,moluccensis,moluccan naked-backed fruit bat,0.4043,-0.3932963,367.9,ml O2/h,44.15,1.64491103,h,land,yes,chiroptera,"White and Seymour, 2003; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Dobsonia,praedatrix,new britain naked-backed fruit bat,0.1795,-0.7459355,142.89,ml O2/h,17.15,1.23418308,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Bonaccorso 2001; Genoud 2017 dataset"

Dolichotis,salinicola,chacoan mara,1.613,0.20763437,725.6365,ml O2/h,87.08,1.93990037,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Dromiciops,gliroides,monito del monte/colocolo opossum,0.0402,-1.3957739,31.76,ml O2/h,3.8112,0.58106174,o,land,yes,microbiotheria,Bozinovic et al. (2004b)

Echinops,telfairi,lesser hedgehog tenrec,0.1164,-0.934047,133.9,ml O2/h,16.07,1.20596182,o,land,yes,afrosoricida,"White and Seymour, 2003"

Echinosorex,gymnura,moonrat,0.7212,-0.1419443,504.8,ml O2/h,60.58,1.78230059,o,land,yes,eulipotyphla,"White and Seymour, 2003"

Echymipera,kalubu,common echymipera,0.695,-0.1580152,341.6375,ml O2/h,40.9965,1.61274678,o,land,yes,peramelemorphia,"White and Seymour, 2003; Lovegrove (2003); Hulbert and Dawson 1974; Genoud 2017 dataset; from Naya dataset"

Echymipera,rufescens,long-nosed echymipera,0.946,-0.02410886,421.5,ml O2/h,50.58,1.70397882,o,land,yes,peramelemorphia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hulbert and Dawson 1974; Genoud 2017 dataset"

Eira,barbara,tayra,2.95,0.46982202,1220.73333,ml O2/h,146.49,2.16580204,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Elephantulus,brachyrhynchus,short-snouted elephant shrew/sengi,0.0453,-1.3439018,43.7,ml O2/h,5.24,0.71966268,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1995; Genoud 2017 dataset"

Elephantulus,edwardii,cape elephant shrew,0.05,-1.30103,54.5,ml O2/h,6.54,0.81557775,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Elephantulus,intufi,bushveld elephant shrew,0.04649,-1.3326405,52,ml O2/h,6.24,0.79518459,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1995; Genoud 2017 dataset"

Elephantulus,myurus,eastern rock elephant shrew,0.06286875,-1.2015652,66.170625,ml O2/h,7.94,0.89984648,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Lovegrove et al., 2001; Genoud 2017 dataset"

Elephantulus,rozeti,north african elephant shrew,0.04615667,-1.3357656,48.7022222,ml O2/h,5.84,0.76673002,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Lovegrove et al., 2001; Genoud 2017 dataset"

Elephantulus,rufescens,rufous elephant shrew,0.053,-1.2757241,56.9,ml O2/h,6.83,0.83429351,o,land,yes,macroscelidea,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; McNab 1984; Genoud 2017 dataset"

Elephantulus,rupestris,western rock elephant shrew,0.0597,-1.2240257,53.17,ml O2/h,6.3804,0.80484791,o,land,yes,macroscelidea,Oelkrug et al. (2012)

Elephas,maximus,elephant,3833,3.58353882,268,liter O2/h,32160,4.50731604,h,land,yes,proboscidea,"Schmidt-Nielsen, 1997"

Eligmodontia,typus,highland gerbil mouse,0.0175,-1.756962,29.9,ml O2/h,3.59,0.55485243,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic & Rosenmann (1988a); Genoud 2017 dataset"

Eonycteris,spelaea,cave nectar bat,0.0516,-1.2873503,48,ml O2/h,5.76,0.76042248,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1989; Genoud 2017 dataset"

Eothenomys,miletus,yunnan red-backed vole,0.04123,-1.3847867,79.57,ml O2/h,9.5484,0.9799306,o,land,yes,rodentia,Zhu et al. (2008)

Eothenomys,olitor,chaotung vole,0.03426,-1.4652126,89.1,ml O2/h,10.692,1.02905895,o,land,yes,rodentia,Zhu et al. (2013b)

Epixerus,ebii,western palm squirrel,0.46,-0.3372422,241.5,ml O2/h,28.98,1.46209838,o,land,yes,rodentia,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Epomophorus,wahlbergi,wahlberg's epauletted fruit bat,0.1017,-0.992679,105.16,ml O2/h,12.6192,1.10103182,h,land,yes,chiroptera,Downs et al. (2012)

Eptesicus,fuscus,big brown bat,0.01423333,-1.8466934,17.6166667,ml O2/h,2.11,0.32510498,c,land,yes,chiroptera,"White and Seymour, 2003; Willis et al., 2005; Genoud 2017 dataset"

Equus,caballus,horse,650,2.81291336,71.1,liter O2/h,8532,3.93105085,h,land,yes,artiodactyla,"Schmidt-Nielsen, 1997"

Eremitalpa,granti,grant's golden mole,0.0253375,-1.5962362,13.12375,ml O2/h,1.57,0.19723919,c,land,yes,afrosoricida,"White and Seymour, 2003; Fielden et al., 1990; Genoud 2017 dataset"

Erethizon,dorsatum,north american porcupine,9.423,0.97418919,2782.54,ml O2/h,333.9,2.52362266,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Erinaceus,concolor,southern white-breasted hedgehog,0.8227,-0.0847585,347.2,ml O2/h,41.66,1.61976096,o,land,yes,eulipotyphla,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Krol 1994; Genoud 2017 dataset"

Erinaceus,europaeus,european hedgehog,0.75,-0.1249387,337.5,ml O2/h,40.5,1.60745502,o,land,yes,eulipotyphla,"White and Seymour, 2003; Shkolnik and Schmidt-Nielsen 1976; Genoud 2017"

Erophylla,bombifrons,brown flower bat,0.01635833,-1.7862609,18.0333333,ml O2/h,2.16,0.33525726,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Rodriguez-Duran 1995; Genoud 2017 dataset"

Erythrocebus,patas,patas monkey,3,0.47712125,1068,ml O2/h,128.16,2.1077525,o,land,yes,primates,"White and Seymour, 2003"

Eulemur,fulvus,common brown lemur,2.33,0.36735592,534.69,ml O2/h,64.16,1.80728331,o,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Daniels 1984; Genoud 2017 dataset"

Eumops,perotis,western mastiff bat,0.056,-1.251812,39.8,ml O2/h,4.78,0.67906432,c,land,yes,chiroptera,"White and Seymour, 2003; Leitner 1966; Genoud 2017 dataset"

Euneomys,chinchilloides,patagonian chinchilla mouse,0.0654,-1.1844223,84.4,ml O2/h,10.13,1.00552369,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic 1992; Genoud 2017 dataset"

Euoticus,elegantulus,southern needle-clawed bushbaby,0.2615,-0.5825283,216,ml O2/h,25.92,1.413635,o,land,yes,primates,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Euphractus,sexcinctus,six-banded armadillo,8.19,0.9132839,1237,ml O2/h,148.44,2.17155095,o,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017"

Felis,catus,cat,2.5,0.39794001,1.7,liter O2/h,204,2.30963017,c,land,yes,carnivora,"Schmidt-Nielsen, 1997"

Fossa,fossana,malagasy civet,2.26,0.35410844,906,ml O2/h,108.72,2.03630944,c,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1995; Genoud 2017 dataset"

Funisciurus,congicus,congo rope squirrel,0.1123,-0.9496202,95.5,ml O2/h,11.46,1.05918462,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Funisciurus,isabella,lady burton's rope squirrel,0.06,-1.2218487,102.1,ml O2/h,12.25,1.08820699,o,land,yes,rodentia,"White and Seymour, 2003"

Funisciurus,lemniscatus,ribboned rope squirrel,0.095,-1.0222764,89.6,ml O2/h,10.75,1.03148926,o,land,yes,rodentia,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Funisciurus,pyrropus,african striped squirrel,0.244,-0.6126102,181.3,ml O2/h,21.76,1.33757905,o,land,yes,rodentia,"White and Seymour, 2003; Hildwein 1972; Genoud 2017 dataset"

Galago,moholi,mohol bushbaby,0.179625,-0.7456332,82.4125,ml O2/h,9.89,0.99517433,o,land,yes,primates,"White and Seymour, 2003; Nowack et al., 2013; Genoud 2017 dataset"

Galago,senegalensis,senegal bushbaby,0.22325,-0.6512085,167.5,ml O2/h,20.1,1.30319606,o,land,yes,primates,"White and Seymour, 2003; Dobler (1982); Genoud 2017 dataset"

Galagoides,demidovii,demidoff's dwarf galago,0.06695,-1.1742494,61.775,ml O2/h,7.41,0.869994,o,land,yes,primates,"White and Seymour, 2003; Dobler 1982; Genoud 2017 dataset"

Galea,musteloides,common yellow-toothed cavy,0.32225,-0.4918071,263.42,ml O2/h,31.61,1.49982999,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Gazella,subgutturosa,goitered gazelle,17.1,1.23299611,4595.8,ml O2/h,551.496,2.74154237,h,land,yes,artiodactyla,Ostrowski et al. (2006a)

Genetta,tigrina,cape genet,1.7235,0.23641129,758.095,ml O2/h,90.97,1.95890488,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Hennemann and Konecny 1980; Genoud 2017 dataset"

Geocapromys,ingrahami,bahamian hutia/ingraham's hutia,0.775,-0.1106983,265.8,ml O2/h,31.9,1.50373622,o,land,yes,rodentia,"White and Seymour, 2003"

Geocapromys,brownii,jamaican coney,2.456,0.39022836,736.8,ml O2/h,88.42,1.94653086,h,land,yes,rodentia,"White and Seymour, 2003"

Geogale,aurita,large-eared tenrec,0.0069,-2.1611509,7.7,ml O2/h,0.92,-0.034328,c,land,yes,afrosoricida,"White and Seymour, 2003"

Geomys,bursarius,plains pocket gopher,0.197,-0.7055338,137.855,ml O2/h,16.543,1.21863151,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al. (2015); from Naya dataset"

Geomys,pinetis,southeastern pocket gopher,0.19791667,-0.7035176,141.249167,ml O2/h,16.95,1.22916714,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1966; Genoud 2017 dataset"

Georychus,capensis,cape mole-rat,0.1938,-0.7126462,114.06,ml O2/h,13.69,1.13631461,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Gerbilliscus,afra,cape gerbil,0.1065,-0.9726504,182.1,ml O2/h,21.85,1.33949119,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Duxbury and Perrin 1992; Genoud 2017 dataset"

Tatera,indica,indian gerbil,0.087,-1.0604807,75.7,ml O2/h,9.08,0.95827713,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Gerbilliscus,leucogaster,bushveld gerbil,0.155222,-0.8090467,132.961,ml O2/h,15.96,1.20290552,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1994; Genoud 2017 dataset"

Gerbillurus,paeba,hairy-footed gerbil,0.03130313,-1.5044123,28.153125,ml O2/h,3.38,0.52870785,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Buffenstein 1984; Genoud 2017 dataset"

Gerbillurus,setzeri,namib bursh-tailed gerbil,0.0461,-1.3362991,37,ml O2/h,4.44,0.64738297,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1990; Genoud 2017 dataset"

Gerbillurus,tytonis,dune hairy-footed gerbil,0.0299,-1.5243288,31.7,ml O2/h,3.8,0.58024051,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1990; Genoud 2017 dataset"

Gerbillurus,vallinus,bushy-tailed hairy-footed gerbil,0.0388,-1.4111683,34.8,ml O2/h,4.18,0.62076049,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Downs and Perrin 1990; Genoud 2017 dataset"

Gerbillus,andersoni,allenby's gerbil,0.0353,-1.4522253,38.8,ml O2/h,4.66,0.66801297,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Gerbillus,dasyurus,wagner's gerbil,0.0276,-1.5590909,29.3266169,ml O2/h,3.521194,0.54668995,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al. (2015); Haim 1987; Genoud 2017 dataset; from Naya dataset"

Gerbillus,gerbillus,lesser egyptian gerbil,0.0297,-1.5272436,42.5,ml O2/h,5.1,0.70757018,o,land,yes,rodentia,"White and Seymour, 2003"

Gerbillus,nanus,dwarf/balochistan gerbil,0.02865,-1.5428754,22.605,ml O2/h,2.71,0.43338576,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Haim 1984; Genoud 2017 dataset"

Gerbillus,perpallidus,pale gerbil,0.05645,-1.2483361,46.86,ml O2/h,5.62,0.74998353,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Gerbillus,pusillus,least gerbil,0.0126,-1.8996295,13.5,ml O2/h,1.62,0.20951501,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Buffenstein and Jarvis 1985; Genoud 2017 dataset"

Gerbillus,pyramidum,greater egyptian gerbil,0.08075,-1.0928575,67.068,ml O2/h,8.05,0.9056966,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Gerbillus,andersoni,anderson's gerbil,0.0358,-1.446117,38.8059701,ml O2/h,4.656716418,0.66807979,o,land,yes,rodentia,Khaliq et al. (2015); Haim 1984; Genoud 2017 dataset

Glaucomys,volans,sourthern flying squirrel,0.06306818,-1.2001897,67.2654545,ml O2/h,8.07,0.90697333,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Stapp 1992; Genoud 2017 dataset"

Glis,glis,edible dormouse,0.2,-0.69897,158,ml O2/h,18.96,1.27783833,o,land,yes,rodentia,"White and Seymour, 2003"

